SN 2008bc 1568.59   18.171 016 16.539 007 16.224 008 16.852 010 16.966 007 16.251 007
SN 2008bc 1569.71   18.276 020 16.636 004 16.246 005 16.814 008 17.079 006 16.303 006
SN 2008bc 1570.54   18.381 024 16.702 007                       17.162 007           
SN 2008bc 1571.52   18.502 026 16.787 008 16.257 008 16.756 010 17.255 008 16.390 008
SN 2008bc 1573.55   18.670 035 16.961 006 16.267 005 16.690 008 17.457 008 16.482 006
SN 2008bc 1574.62   18.807 058 17.060 006 16.296 006 16.677 008 17.552 012 16.546 007
SN 2008bc 1575.59   18.979 051 17.130 008 16.282 010 16.615 014 17.681 010 16.601 010
SN 2008bc 1576.55   19.099 069 17.231 008 16.320 008 16.611 010 17.754 014 16.645 008
SN 2008bc 1582.57   19.470 035 17.707 006 16.565 006 16.635 008 18.212 008 17.009 007
SN 2008bc 1589.55   19.775 055 18.085 008 17.024 007 17.105 008 18.537 012 17.436 008
SN 2008bc 1592.52   19.888 041 18.177 008 17.149 008 17.280 010 18.639 012 17.542 008
SN 2008bc 1595.64   19.909 053 18.257 007 17.286 008 17.443 008 18.735 012 17.685 007
SN 2008bc 1606.49   20.582 301 18.420 035 17.678 067 17.890 014 18.937 110 17.954 014
SN 2008bc 1618.50   20.403 126 18.670 012 18.047 012 18.411 021 19.055 016 18.295 012
SN 2008bc 1626.47              18.800 016 18.314 016 18.613 021 19.185 018 18.465 012
SN 2008bc 1644.45   20.767 172 19.125 052 18.855 030 19.172 049 19.435 024 18.910 020
SN 2008bc 1646.45   20.835 129 19.091 042 18.833 025 19.204 033 19.469 020 18.897 017
SN 2008fp 1724.82   15.610 017 14.571 007 14.106 008 14.080 008 14.903 007 14.277 006
SN 2008fp 1725.82   15.549 024 14.475 006 14.011 004 14.024 005 14.799 008 14.171 006
SN 2008fp 1726.82   15.485 021 14.397 006 13.942 005 13.992 006 14.730 007 14.099 006
SN 2008fp 1728.81   15.468 022 14.296 007 13.851 006 13.997 006 14.628 010 13.993 007
SN 2008fp 1729.80   15.476 025 14.282 007 13.818 005 14.007 005            13.962 006
SN 2008fp 1732.80   15.589 018 14.326 006 13.817 004 14.130 006 14.667 007 13.963 006
SN 2008fp 1732.80   15.631 010 14.321 006 13.808 008 14.119 007 14.656 007 13.978 006
SN 2008fp 1732.80                         13.798 006                                 
SN 2008fp 1740.80   16.254 010 14.580 004 14.111 004 14.545 004 15.052 005 14.199 004
SN 2008fp 1744.81   16.793 012 14.876 006 14.411 005 14.847 007 15.426 006 14.469 005
